t level outflow out_valve setpoint in_valve error
20.0637 0.277 0 0 0.5 0.6 0.223
20.1934 0.278 0 0 0.5 0.6 0.222
20.3018 0.279 0 0 0.5 0.6 0.221
20.4071 0.281 0 0 0.5 0.6 0.219
20.5137 0.283 0 0 0.5 0.6 0.217
20.6209 0.284 0 0 0.5 0.6 0.216
20.7262 0.286 0 0 0.5 0.6 0.214
20.8417 0.288 0 0 0.5 0.6 0.212
20.9501 0.289 0 0 0.5 0.6 0.211
21.0553 0.291 0 0 0.5 0.6 0.209
21.1607 0.293 0 0 0.5 0.6 0.207
21.2657 0.294 0 0 0.5 0.6 0.206
21.4049 0.296 0 0 0.5 0.6 0.204
21.5148 0.298 0 0 0.5 0.6 0.202
21.6291 0.299 0 0 0.5 0.6 0.201
21.7337 0.301 0 0 0.5 0.6 0.199
21.8422 0.302 0 0 0.5 0.6 0.198
21.9477 0.304 0 0 0.5 0.6 0.196
22.0558 0.306 0 0 0.5 0.6 0.194
22.1578 0.307 0 0 0.5 0.6 0.193
22.2823 0.309 0 0 0.5 0.6 0.191
22.3843 0.31 0 0 0.5 0.6 0.19
22.4852 0.312 0 0 0.5 0.6 0.188
22.586 0.314 0 0 0.5 0.6 0.186
22.6888 0.315 0 0 0.5 0.6 0.185
22.7926 0.317 0 0 0.5 0.6 0.183
22.8948 0.318 0 0 0.5 0.6 0.182
22.9959 0.32 0 0 0.5 0.6 0.18
23.0989 0.321 0 0 0.5 0.6 0.179
23.2018 0.323 0 0 0.5 0.6 0.177
23.3164 0.324 0 0 0.5 0.6 0.176
23.4268 0.326 0 0 0.5 0.6 0.174
23.5358 0.327 0 0 0.5 0.6 0.173
23.6449 0.329 0 0 0.5 0.6 0.171
23.7927 0.33 0 0 0.5 0.6 0.17
23.9116 0.333 0 0 0.5 0.6 0.167
24.0143 0.335 0 0 0.5 0.6 0.165
24.1214 0.336 0 0 0.5 0.6 0.164
24.2307 0.338 0 0 0.5 0.6 0.162
24.3343 0.339 0 0 0.5 0.6 0.161
24.4511 0.341 0 0 0.5 0.6 0.159
24.5543 0.343 0 0 0.5 0.6 0.157
24.6753 0.345 0 0 0.5 0.6 0.155
24.7819 0.346 0 0 0.5 0.6 0.154
24.8867 0.347 0 0 0.5 0.6 0.153
24.9978 0.349 0 0 0.5 0.6 0.151
25.1048 0.351 0 0 0.5 0.6 0.149
25.2143 0.353 0 0 0.5 0.6 0.147
25.3233 0.354 0 0 0.5 0.6 0.146
25.4513 0.356 0 0 0.5 0.6 0.144
25.5592 0.357 0 0 0.5 0.6 0.143
25.6648 0.359 0 0 0.5 0.6 0.141
25.7698 0.361 0 0 0.5 0.6 0.139
25.8768 0.362 0 0 0.5 0.6 0.138
26.0011 0.364 0 0 0.5 0.6 0.136
26.1208 0.366 0 0 0.5 0.6 0.134
26.2263 0.367 0 0 0.5 0.6 0.133
26.3548 0.369 0 0 0.5 0.6 0.131
26.461 0.371 0 0 0.5 0.6 0.129
26.5683 0.373 0 0 0.5 0.6 0.127
26.6698 0.374 0 0 0.5 0.6 0.126
26.7748 0.375 0 0 0.5 0.6 0.125
26.8839 0.377 0 0 0.5 0.6 0.123
26.9908 0.378 0 0 0.5 0.6 0.122
27.1123 0.38 0 0 0.5 0.6 0.12
27.2168 0.382 0 0 0.5 0.6 0.118
27.3249 0.384 0 0 0.5 0.6 0.116
27.4303 0.386 0 0 0.5 0.6 0.114
27.5388 0.387 0 0 0.5 0.6 0.113
27.644 0.388 0 0 0.5 0.6 0.112
27.7445 0.39 0 0 0.5 0.6 0.11
27.8669 0.391 0 0 0.5 0.6 0.109
27.9764 0.393 0 0 0.5 0.6 0.107
28.0833 0.395 0 0 0.5 0.6 0.105
28.1867 0.396 0 0 0.5 0.6 0.104
28.291 0.398 0 0 0.5 0.6 0.102
28.4029 0.399 0 0 0.5 0.6 0.101
28.5099 0.401 0 0 0.5 0.6 0.099
28.6149 0.402 0 0 0.5 0.6 0.098
28.7364 0.404 0 0 0.5 0.6 0.096
28.8434 0.406 0 0 0.5 0.6 0.094
28.9518 0.407 0 0 0.5 0.6 0.093
29.0569 0.409 0 0 0.5 0.6 0.091
29.1624 0.411 0 0 0.5 0.6 0.089
29.2844 0.412 0 0 0.5 0.6 0.088
29.3918 0.414 0 0 0.5 0.6 0.086
29.496 0.416 0 0 0.5 0.6 0.084
29.6223 0.417 0 0 0.5 0.6 0.083
29.7264 0.419 0 0 0.5 0.6 0.081
29.8303 0.421 0 0 0.5 0.6 0.079
29.9418 0.422 0 0 0.5 0.6 0.078
30.0444 0.424 0 0 0.5 0.6 0.076
30.1484 0.426 0 0 0.5 0.6 0.074
30.2594 0.427 0 0 0.5 0.6 0.073
30.3634 0.429 0 0 0.5 0.6 0.071
30.4649 0.43 0 0 0.5 0.6 0.07
30.572 0.431 0 0 0.5 0.6 0.069
30.6766 0.433 0 0 0.5 0.6 0.067
30.7819 0.435 0 0 0.5 0.6 0.065
30.8849 0.436 0 0 0.5 0.6 0.064
30.9865 0.438 0 0 0.5 0.6 0.062
31.0899 0.439 0 0 0.5 0.6 0.061
31.1931 0.441 0 0 0.5 0.6 0.059
31.2999 0.442 0 0 0.5 0.6 0.058
31.4013 0.444 0 0 0.5 0.6 0.056
31.5081 0.445 0 0 0.5 0.6 0.055
31.6106 0.447 0 0 0.5 0.6 0.053
31.7132 0.449 0 0 0.5 0.6 0.051
31.8164 0.45 0 0 0.5 0.6 0.05
31.919 0.452 0 0 0.5 0.6 0.048
32.0274 0.453 0 0 0.5 0.6 0.047
32.1344 0.455 0 0 0.5 0.6 0.045
32.243 0.456 0 0 0.5 0.6 0.044
32.3475 0.458 0 0 0.5 0.6 0.042
32.4504 0.459 0 0 0.5 0.6 0.041
32.5585 0.461 0 0 0.5 0.6 0.039
32.6619 0.462 0 0 0.5 0.6 0.038
32.7729 0.464 0 0 0.5 0.6 0.036
32.8794 0.466 0 0 0.5 0.6 0.034
32.9839 0.467 0 0 0.5 0.6 0.033
33.0979 0.469 0 0 0.5 0.6 0.031
33.2084 0.471 0 0 0.5 0.6 0.029
33.3094 0.472 0 0 0.5 0.6 0.028
